Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg_SoS,ORtg_SoS,DRtg_SoS,NetRtg_NCOS
207,Fresno St.,WAC,13-21,-3.78,99.7,103.5,66.5,-.043,-0.15,103.7,103.8,-3.00
208,Texas St.,Slnd,14-16,-3.89,102.4,106.3,73.9,-.078,-3.07,101.3,104.4,-3.55
209,Indiana,B10,6-25,-3.92,99.1,103.0,65.4,-.030,+11.49,109.1,97.6,+4.29
210,Lamar,Slnd,15-15,-3.96,100.4,104.4,66.4,+.032,-0.08,102.5,102.6,+5.62
211,Delaware,CAA,13-19,-3.98,102.7,106.6,67.0,-.011,-1.93,100.3,102.2,-4.68
212,South Dakota St.,Sum,13-20,-4.00,104.9,108.9,64.6,-.043,-0.01,104.1,104.1,+2.66
213,Chattanooga,SC,18-17,-4.04,104.3,108.4,69.5,+.041,-3.37,102.1,105.5,+12.40
214,Hawaii,WAC,13-17,-4.17,97.2,101.3,63.9,-.030,-3.56,101.9,105.5,-9.88
215,East Carolina,CUSA,13-17,-4.19,110.4,114.6,64.7,-.020,+2.18,104.1,101.9,+0.06
216,IPFW,Sum,13-17,-4.29,102.5,106.8,65.3,+.024,+0.72,104.1,103.4,+7.31
217,UC Irvine,BW,12-19,-4.39,104.1,108.5,62.7,-.005,-1.69,102.5,104.2,-0.42
218,Mercer,ASun,17-15,-4.40,105.2,109.6,67.4,+.062,-2.47,100.9,103.3,+7.40
219,UC Riverside,BW,17-13,-4.68,97.5,102.2,59.9,+.096,-3.28,102.3,105.6,-4.69
220,UC Davis,BW,13-19,-4.81,105.2,110.0,69.4,-.056,-3.53,101.3,104.8,-5.62
221,Loyola MD,MAAC,12-20,-5.05,102.8,107.8,65.6,+.007,+0.08,101.7,101.6,+3.71
222,Wofford,SC,16-14,-5.14,106.3,111.4,61.9,+.060,-4.90,101.0,105.9,+3.50
223,Youngstown St.,Horz,11-19,-5.19,101.5,106.7,65.7,+.023,+1.16,102.3,101.1,-0.86
